#,ENGINEER ONLY - Enter installation client ref (excluding the letters),ENGINEER,Did the engineer arrive on time?,How satisfied were you with the quality and standard of the work that was carried out?,How satisfied were you with the connection speed demonstrated?,Based just on your install experience today how likely are you to recommend Freedom Fibre to a friend or colleague?,Please add any further comments you have that would help better our service.,Response Type,Start Date (UTC),Stage Date (UTC),Submit Date (UTC),Network ID
0ptspe87tban6umjly1vh0ptspoxqpuo,610010778,Curtis,1,5,3,5,"Curtis was brilliant, he was very careful and very polite.",completed,20/12/2023 10:30,,20/12/2023 10:35,4ea6d4aa4b
jlsbfgqhlm7kjlsbiwvpmw472cya2pmu,610010784,Curtis,1,5,4,5,"Polite, did the job clean and tidy.",completed,20/12/2023 10:17,,20/12/2023 10:19,4ea6d4aa4b
4q5y8g1prssey25tcl4q5y8uulwmy7sr,610010785,Anthony,1,5,5,4,All good,completed,20/12/2023 10:13,,20/12/2023 10:16,4ea6d4aa4b
8uj4x2t53jd0jrjrb998uj4x2trpv4f7,10010755,Tony,1,5,5,5,"They were fine, our router is upstairs so they had to think on their feet but they were great",completed,15/12/2023 10:23,,15/12/2023 10:24,c7e9a157bf
oy5tatugtm4q2uoy5tlsaelzkydoajt1,2210010158,Paul,1,5,5,5,"Very happy with Paul, the engineer was very good he explained everything very well and was brilliant. Would highly recommend",completed,11/12/2023 15:47,,11/12/2023 15:50,1191227944
9mkv7f3fdur3ixqs3e9mkvygawpkh3ju,610010286,Tony,1,5,5,5,,completed,11/12/2023 15:39,,11/12/2023 15:41,1191227944
5n56hraucqk7hb421d5n599zdoigtxzr,210009949,Lucy,1,5,4,5,Service from the engineer was fantastic. Lucy was professional and did a great job. Very impressed with the service,completed,11/12/2023 15:33,,11/12/2023 15:37,1191227944
p8m4fqzkb6xardxpp8m4fbmuj83w3k22,10009528,Curtis,1,5,5,5,"very polite and courteous, I'd recommend them to anyone",completed,01/12/2023 13:59,,01/12/2023 14:04,60e4bd1d1f
pc2dkwezqxwvw09vqtorqqpc2dkweqxq,10010380,Anthony,1,5,5,5,,completed,01/12/2023 13:53,,01/12/2023 13:56,0cd8a9fd55
alxzizr28gbt8y9malxzhru8jwvv3dms,10010481,Tony,1,5,5,5,It's very good,completed,01/12/2023 13:47,,01/12/2023 13:59,60e4bd1d1f
hnzrsi9pyoghz9phnztohtew9phn43t7,10010477,Tony,1,5,5,5,"Jolly good job, really well done although there was a little bit of difficulty with fences but they managed to get it done",completed,29/11/2023 12:54,,29/11/2023 12:57,4ea6d4aa4b
vkfzl2edjhyko49o0kvkfzl29jgdze57,10010430,Harry,1,5,5,5,.,completed,29/11/2023 12:41,,29/11/2023 12:45,4ea6d4aa4b
7vvq2nclykoriwe0w587vvq2ngvmci5v,110010182,Lucy,1,3,1,3,,completed,28/11/2023 17:44,,28/11/2023 17:48,1191227944
kvyvix7newn39dos31jkvyvi63yoa5q2,2110010387,Curtis,1,5,5,5,,completed,28/11/2023 17:34,,28/11/2023 17:40,1191227944
qdu5qhd5a0gmguwqdu5g5m8cd0bi6j1h,100105,Harry,1,5,5,5,n/a,completed,22/11/2023 11:01,,22/11/2023 11:03,4ea6d4aa4b
0p6uyj1g69z57xa0p6utbtd3ruqr0lxu,10010353,Lucy,1,5,5,5,Very interesting to see the install being carried out,completed,22/11/2023 10:56,,22/11/2023 10:59,4ea6d4aa4b
mgw2fybrpdd6o0vznbhps08qmgw2fy7g,10010373, Curtis,1,5,4,5,Very good.,completed,22/11/2023 10:47,,22/11/2023 10:52,4ea6d4aa4b
u5khtd0buk2ap872a5op1u5khtc12bt8,10046, Curtis,1,5,5,5,was in work but explained he was happy to put everything as a good standard and is happy with the work complete,completed,16/11/2023 12:03,,16/11/2023 12:06,4ea6d4aa4b
budsrnjvh0a50k5dzhmlj6budsrnk079,10009912,Anthony,1,5,5,5,,completed,16/11/2023 11:29,,16/11/2023 11:36,4ea6d4aa4b
6tsgdw90gkx86un2squgz6tsgdw90y4n,10009570,Kieron,1,5,4,3,"Engineers were lovely but it was very inconvenient, I wasn't given any information and thought they would just come and switch my router but then I had 4 vans on the front, guys on the roof and none of it was explained to me when I was called to book an appointment.",completed,16/11/2023 10:51,,16/11/2023 11:25,4ea6d4aa4b
yd3yeg7aunjyyueh2nyd3yeg4d1kr70n,10010029,Curtis,1,5,5,5,"He was very nice, we had no problems with him. Everything went fine and he explained everything.",completed,02/11/2023 10:17,,02/11/2023 10:39,4ea6d4aa4b
3d06g0ebczjryrs3d06q4vh6f4exywi7,10009983,Lucy,,,,,They were very pleasant and not obtrusive. I didn't have to do anything and they did everything they needed to do - ((cx scored 3 for recommendation as they are ambivalent about the internet in general)),completed,02/11/2023 10:17,,02/11/2023 10:35,4ea6d4aa4b
ic4pv4bnujxzozn43giyic4pv45auvoa,10009982,Harry,1,5,5,5,He did well,completed,02/11/2023 10:16,,02/11/2023 10:20,4ea6d4aa4b
50zcpu7t5w5cgsm07c950zcpuzdiaziz,10009970,Lucy,1,5,5,5,"The engineer was really accommodating, we had our line in a difficult place as it had to come through the conservatory and was hard to get to. We're really happy with it",completed,26/10/2023 09:30,,26/10/2023 09:49,4ea6d4aa4b
1uw7x6nhrjh3kxttp1uw7x6nh9ku5bdm,10009971,Curtis,1,5,5,5,I'm very satisfied,completed,26/10/2023 09:29,,26/10/2023 15:34,4ea6d4aa4b
pneef5m3cg0ph7pnee43arnl1b28fsv7,10009895,Callum,1,5,5,5,"I give Callum a 5 overall, very happy with his work",completed,26/10/2023 09:29,,26/10/2023 11:18,4ea6d4aa4b
6e45ule6pv087lqnq5n6e45ixwcor3dw,10009966,Harry,1,4,4,4,The cap that was put on the outside wall where the fibre cable feeds into fell off after the engineer left.,completed,25/10/2023 08:23,,25/10/2023 08:27,4ea6d4aa4b
45rv20a6i274mtnwvoybm3345rv20adq,10009697,Callum,1,5,5,5,It was fine.,completed,25/10/2023 08:17,,25/10/2023 08:20,4ea6d4aa4b
t07epoxu04oygnolnko7t07epoxhc5za,110009623,Anthony,1,5,5,5,"Everything was great, engineer was polite.",completed,25/10/2023 08:06,,25/10/2023 08:15,4ea6d4aa4b
feutvnxyxdozbyyib5799zlfeutvngcm,10008783,Lucy,1,5,5,5,"She was very polite and explained everything to us, initially there was a problem but she overcame that and everything went well. She explained what she was doing and did the connection really well. We're very satisfied with it",completed,19/10/2023 08:15,,19/10/2023 08:17,4ea6d4aa4b
rw23lejjf0vbwvt8fm5kvrw23lupxchj,10009596,Curtis,1,5,5,5,"very good, very neat, would score a ten if I could",completed,19/10/2023 08:10,,19/10/2023 12:05,4ea6d4aa4b
jrnt5vqlgau57occ1hjrnt5vqhpzuhqm,10009508,Daniel,1,5,5,5,"Did a great job, was very patient",completed,19/10/2023 08:08,,19/10/2023 12:00,4ea6d4aa4b
rv6xydt292oysbw3zrv6xyxkkl5ovifv,610009364,Curtis,1,5,1,5,No further comments,completed,11/10/2023 14:40,,11/10/2023 14:43,aa5d573bc7
ur5q4uxx61u13e8rvfur5qxtl4wx3k9z,2410009164,Paul,1,5,3,5,Things went smoothly.,completed,11/10/2023 14:35,,11/10/2023 14:37,aa5d573bc7
y6f8q8iw78262z8t0y6h3n17chydj5ve,10009299,Curtis,1,4,5,5,Great Job,completed,05/10/2023 09:27,,05/10/2023 09:34,121818e398
zvgemgcdvpuu815txc1zvge1et6ag7an,10009300,Harry,1,5,5,5,Very good experience.,completed,04/10/2023 10:27,,04/10/2023 10:30,4ea6d4aa4b
xdtr89r3v6438k2jbuxdtrdwgs7qnt3p,2210009096,Callum,1,5,5,5,It went very well and happy with the install.,completed,04/10/2023 10:23,,04/10/2023 10:26,4ea6d4aa4b
